@RELATION svmclasmetal
@ATTRIBUTE features1 NUMERIC
@ATTRIBUTE features2 NUMERIC
@ATTRIBUTE features3 NUMERIC
@ATTRIBUTE features4 NUMERIC
@ATTRIBUTE features5 NUMERIC
@ATTRIBUTE features6 NUMERIC
@ATTRIBUTE features7 NUMERIC
@ATTRIBUTE features8 NUMERIC
@ATTRIBUTE features9 NUMERIC
@ATTRIBUTE features10 NUMERIC
@ATTRIBUTE features11 NUMERIC
@ATTRIBUTE features12 NUMERIC
@ATTRIBUTE features13 NUMERIC
@ATTRIBUTE features14 NUMERIC
@ATTRIBUTE features15 NUMERIC
@ATTRIBUTE features16 NUMERIC
@ATTRIBUTE features17 NUMERIC
@ATTRIBUTE features18 NUMERIC
@ATTRIBUTE features19 NUMERIC
@ATTRIBUTE features20 NUMERIC
@ATTRIBUTE features21 NUMERIC
@ATTRIBUTE features22 NUMERIC
@ATTRIBUTE features23 NUMERIC
@ATTRIBUTE features24 NUMERIC
@ATTRIBUTE features25 NUMERIC
@ATTRIBUTE features26 NUMERIC
@ATTRIBUTE features27 NUMERIC
@ATTRIBUTE features28 NUMERIC
@ATTRIBUTE features29 NUMERIC
@ATTRIBUTE features30 NUMERIC
@ATTRIBUTE features31 NUMERIC
@ATTRIBUTE features32 NUMERIC
@ATTRIBUTE features33 NUMERIC
@ATTRIBUTE features34 NUMERIC
@ATTRIBUTE features35 NUMERIC
@ATTRIBUTE features36 NUMERIC
@ATTRIBUTE features37 NUMERIC
@ATTRIBUTE features38 NUMERIC
@ATTRIBUTE features39 NUMERIC
@ATTRIBUTE features40 NUMERIC
@ATTRIBUTE features41 NUMERIC
@ATTRIBUTE features42 NUMERIC
@ATTRIBUTE features43 NUMERIC
@ATTRIBUTE features44 NUMERIC
@ATTRIBUTE features45 NUMERIC
@ATTRIBUTE features46 NUMERIC
@ATTRIBUTE features47 NUMERIC
@ATTRIBUTE features48 NUMERIC
@ATTRIBUTE features49 NUMERIC
@ATTRIBUTE features50 NUMERIC
@ATTRIBUTE features51 NUMERIC
@ATTRIBUTE features52 NUMERIC
@ATTRIBUTE features53 NUMERIC
@ATTRIBUTE features54 NUMERIC
@ATTRIBUTE features55 NUMERIC
@ATTRIBUTE features56 NUMERIC
@ATTRIBUTE features57 NUMERIC
@ATTRIBUTE features58 NUMERIC
@ATTRIBUTE features59 NUMERIC
@ATTRIBUTE features60 NUMERIC
@ATTRIBUTE features61 NUMERIC
@ATTRIBUTE features62 NUMERIC
@ATTRIBUTE features63 NUMERIC
@ATTRIBUTE features64 NUMERIC
@ATTRIBUTE features65 NUMERIC
@ATTRIBUTE features66 NUMERIC
@ATTRIBUTE features67 NUMERIC
@ATTRIBUTE features68 NUMERIC
@ATTRIBUTE features69 NUMERIC
@ATTRIBUTE features70 NUMERIC
@ATTRIBUTE class {classical_w,metal_w}

@DATA
0.050366,0.013363,3.233265,0.095006,0.136292,0.246206,0.005983,0.068515,-24.716701,1.424695,-0.671690,0.537085,-0.218612,0.034022,0.143238,0.094121,0.016209,0.161713,-0.051452,0.101274,0.027584,0.014107,0.007129,0.025821,0.008429,0.010096,0.011412,0.026904,0.007102,0.006121,0.025873,0.023553,0.004375,0.020359,0.008911,0.008542,0.070841,0.018450,0.033094,0.109045,0.003406,0.012508,0.696779,0.465246,0.348831,0.320660,0.228496,0.332073,0.264811,0.364907,0.274570,0.308454,0.276751,0.251263,0.210218,0.014137,0.008147,0.022000,0.009585,0.010345,0.012139,0.021730,0.010054,0.007647,0.025448,0.016715,0.006176,0.008332,200.000000,0.104444,classical_w
0.039861,0.034806,3.243085,0.090355,0.143043,0.154183,0.005073,0.054471,-23.965626,1.944990,-0.659638,0.296721,-0.240532,-0.116547,-0.102192,0.084776,-0.184609,-0.228573,-0.137978,0.158976,-0.012970,0.005391,0.003377,0.043025,0.048038,0.024136,0.019351,0.015057,0.000622,0.003361,0.020271,0.019414,0.003256,0.028029,0.008702,0.022986,0.061246,0.019828,0.034601,0.088750,0.003741,0.013578,0.721362,0.488787,0.369740,0.365156,0.256261,0.264771,0.250343,0.280718,0.274150,0.280720,0.264913,0.241786,0.226257,0.004931,0.003999,0.028766,0.031780,0.019544,0.017230,0.013130,0.000511,0.002808,0.017464,0.013293,0.003054,0.010529,171.428571,0.084706,classical_w
0.045051,0.021755,3.226322,0.093456,0.138245,0.212336,0.005965,0.062408,-23.765232,1.722776,-0.563476,0.465945,-0.316723,-0.095864,0.183416,0.150923,-0.065345,0.008302,-0.031757,0.083820,0.032686,0.013955,0.010214,0.031880,0.013615,0.013918,0.023048,0.031182,0.005737,0.007082,0.014363,0.017559,0.004768,0.021576,0.008473,0.010540,0.072272,0.018696,0.034028,0.108067,0.003276,0.012895,0.582479,0.373357,0.327449,0.280324,0.259128,0.277591,0.273051,0.327263,0.299502,0.305767,0.289028,0.230175,0.205957,0.012137,0.012525,0.026017,0.013933,0.012505,0.021461,0.027272,0.008263,0.008128,0.018655,0.012707,0.006238,0.009301,200.000000,0.131524,classical_w
0.058046,0.014185,3.265069,0.097886,0.134305,0.284369,0.005274,0.084023,-25.603896,1.209652,-0.512860,0.521809,-0.437627,0.015041,0.266700,0.035385,0.033541,0.006903,0.240892,0.062713,-0.002786,0.009794,0.002406,0.014786,0.013751,0.006539,0.016175,0.043065,0.013579,0.016260,0.008118,0.021504,0.009252,0.024691,0.008771,0.010791,0.038259,0.017829,0.031771,0.129585,0.003842,0.018301,0.596012,0.376786,0.393920,0.334887,0.270958,0.253598,0.287315,0.294999,0.255751,0.298244,0.232035,0.267383,0.197648,0.008474,0.002228,0.011668,0.010380,0.004756,0.014507,0.024203,0.012600,0.016466,0.007116,0.014522,0.007437,0.010132,171.428571,0.088452,classical_w
0.055980,0.023587,3.244974,0.101357,0.133760,0.389538,0.006513,0.085399,-24.098208,1.190019,-0.602044,0.181863,-0.199443,-0.153361,-0.427898,-0.059197,-0.238785,-0.406624,-0.100973,0.112759,0.147201,0.020811,0.007257,0.015778,0.020034,0.022348,0.012515,0.019121,0.007421,0.003941,0.005973,0.009247,0.006374,0.019013,0.013527,0.015826,0.052742,0.017924,0.030589,0.179480,0.003858,0.024201,0.541475,0.457170,0.310223,0.317217,0.305381,0.288679,0.321555,0.360184,0.334450,0.334598,0.323386,0.284430,0.248878,0.020086,0.010489,0.015420,0.019412,0.024537,0.013970,0.016289,0.009394,0.004305,0.007339,0.011081,0.008722,0.009005,171.428571,0.091324,classical_w
0.037290,0.023194,3.221112,0.088823,0.135800,0.228947,0.005638,0.057069,-24.444424,1.936415,-0.296314,-0.049112,-0.208975,0.020066,-0.233839,0.067676,0.174184,0.190810,0.045308,0.007130,0.054583,0.038161,0.007273,0.019358,0.009692,0.019436,0.008154,0.039156,0.002678,0.011233,0.011659,0.021065,0.014470,0.024313,0.008916,0.013506,0.066766,0.018744,0.033213,0.109502,0.002363,0.018085,0.968850,0.363913,0.271119,0.277564,0.257847,0.229007,0.252879,0.248353,0.285238,0.264653,0.244818,0.240172,0.203233,0.026944,0.006905,0.014426,0.011023,0.018040,0.008033,0.029591,0.003793,0.010274,0.010976,0.016187,0.014747,0.009532,133.333333,0.093126,classical_w
0.042694,0.017167,3.249182,0.092648,0.137504,0.289903,0.004342,0.066491,-24.986966,1.826938,-0.440259,-0.134283,-0.213598,0.117497,-0.031107,0.231900,-0.012648,-0.105414,0.052085,0.096843,0.054891,0.018909,0.004467,0.017859,0.018137,0.024605,0.004798,0.028071,0.001126,0.004148,0.017782,0.020768,0.008447,0.020249,0.009776,0.011802,0.051408,0.017964,0.033070,0.124191,0.002028,0.020502,0.880167,0.353690,0.311631,0.300604,0.256513,0.249749,0.283740,0.240992,0.287601,0.300502,0.231427,0.274854,0.195266,0.017877,0.004819,0.016207,0.014952,0.019942,0.004019,0.019204,0.001079,0.003349,0.015100,0.014516,0.006735,0.008494,120.000000,0.086651,classical_w
0.028861,0.018135,3.180785,0.084435,0.142454,0.154561,0.006134,0.041143,-25.664487,2.352057,-0.183038,0.067691,-0.115736,0.070312,-0.159815,0.103172,0.070164,0.088242,-0.070596,0.013400,-0.014186,0.020343,0.005486,0.032247,0.026579,0.009431,0.010246,0.065607,0.002112,0.010614,0.023795,0.026868,0.006557,0.032436,0.008052,0.012321,0.070652,0.021241,0.035915,0.076494,0.003613,0.012659,1.110062,0.331921,0.263561,0.253821,0.250128,0.235251,0.223154,0.249333,0.237176,0.226941,0.208237,0.202479,0.205764,0.017062,0.004946,0.021829,0.016645,0.006878,0.009309,0.038536,0.002786,0.009937,0.017655,0.019168,0.007542,0.010772,240.000000,0.113426,classical_w
0.033873,0.017555,3.226101,0.088715,0.139347,0.193237,0.005453,0.050390,-25.194511,1.938793,-0.381896,-0.139898,-0.255040,0.062379,-0.115818,0.324110,0.142330,0.002271,-0.066305,-0.015795,0.042365,0.025692,0.014069,0.021588,0.010193,0.032706,0.005267,0.059118,0.001872,0.005091,0.011205,0.027315,0.007538,0.029820,0.008600,0.011302,0.056548,0.019712,0.035255,0.094363,0.002471,0.016644,0.899228,0.382450,0.264942,0.294265,0.255919,0.285781,0.290743,0.267106,0.281676,0.288559,0.277785,0.232327,0.201887,0.023991,0.014043,0.013419,0.009308,0.024707,0.005169,0.037209,0.002147,0.004928,0.010799,0.018910,0.008060,0.011585,150.000000,0.100233,classical_w
0.037199,0.008369,3.204799,0.090863,0.142285,0.215966,0.006281,0.054386,-26.960219,1.891735,-0.505550,-0.154597,-0.302781,0.136732,-0.138812,0.065541,-0.019975,-0.014965,0.024916,0.164986,0.128657,0.007961,0.011801,0.019594,0.013595,0.017061,0.008643,0.054340,0.006144,0.015811,0.011471,0.027182,0.006866,0.025016,0.010875,0.006575,0.081242,0.018944,0.032802,0.122154,0.003419,0.018830,1.042837,0.567260,0.332104,0.323886,0.275122,0.293361,0.276441,0.322644,0.274681,0.243838,0.269901,0.255990,0.215848,0.007465,0.013421,0.013447,0.016338,0.013714,0.007649,0.040634,0.008830,0.016831,0.012212,0.022080,0.007598,0.010962,240.000000,0.109865,classical_w
0.030222,0.019724,3.236982,0.078938,0.139912,0.107969,0.005414,0.043896,-24.833323,2.710295,-0.608310,-0.185298,-0.407986,0.176877,-0.049805,-0.025289,-0.129913,-0.078508,-0.215231,0.064810,0.211517,0.008451,0.014397,0.031974,0.026134,0.025612,0.026790,0.042414,0.001482,0.009098,0.013044,0.020941,0.007410,0.029568,0.006428,0.012420,0.049471,0.023380,0.039870,0.058479,0.003290,0.010619,0.682915,0.422357,0.287372,0.279537,0.243183,0.268967,0.219342,0.232867,0.260333,0.227145,0.254187,0.227779,0.181094,0.006508,0.011815,0.017829,0.018615,0.021449,0.022619,0.029551,0.001147,0.009045,0.009491,0.015190,0.006312,0.009676,171.428571,0.104308,classical_w
0.035918,0.022715,3.232004,0.084597,0.136521,0.167630,0.004455,0.056818,-24.535169,2.075371,-0.846755,-0.259376,-0.573516,-0.024602,0.058626,0.165647,-0.048799,-0.113443,-0.043423,0.049178,0.033802,0.010681,0.025111,0.014178,0.015690,0.026235,0.013717,0.014518,0.002923,0.009040,0.012993,0.012319,0.006859,0.019103,0.007628,0.008595,0.049660,0.021016,0.036446,0.092229,0.002001,0.016928,0.606711,0.407667,0.266117,0.284636,0.275480,0.312987,0.246596,0.233678,0.266812,0.220827,0.242432,0.220617,0.215402,0.009487,0.022783,0.008102,0.011352,0.016828,0.013238,0.012161,0.002994,0.006647,0.008372,0.007827,0.005612,0.008058,200.000000,0.091880,classical_w
0.043643,0.011372,3.228239,0.092837,0.136960,0.307469,0.006838,0.067232,-26.742628,1.765936,-0.423835,-0.079713,-0.158535,0.319525,-0.043639,-0.086682,-0.082976,0.149959,0.061172,0.083005,0.063874,0.014752,0.013541,0.024536,0.007786,0.008913,0.036481,0.044765,0.005414,0.008760,0.007019,0.025817,0.008924,0.026611,0.012599,0.006966,0.059875,0.021995,0.032386,0.166748,0.003344,0.022234,1.304753,0.662388,0.366630,0.319698,0.325072,0.263808,0.272131,0.271802,0.318909,0.263275,0.248249,0.230163,0.221462,0.013219,0.012394,0.022168,0.009608,0.009250,0.024118,0.035033,0.008443,0.005924,0.005651,0.022432,0.010092,0.009401,200.000000,0.094688,classical_w
0.040192,0.017215,3.214441,0.090203,0.132252,0.256159,0.006822,0.064800,-25.306330,1.564453,-0.678783,-0.254849,-0.426841,0.141626,-0.035379,0.026947,-0.151317,-0.245606,-0.057977,0.255275,0.248778,0.012800,0.006694,0.013084,0.022708,0.015198,0.039007,0.050667,0.003823,0.004289,0.008305,0.014899,0.004223,0.025214,0.010769,0.013211,0.076689,0.018794,0.034919,0.129210,0.003671,0.020632,1.148460,0.437742,0.304948,0.268637,0.256340,0.236994,0.257735,0.254637,0.272476,0.276222,0.240375,0.219109,0.200742,0.012912,0.009033,0.010613,0.021356,0.011392,0.027477,0.029103,0.005307,0.003853,0.008257,0.013974,0.005121,0.009018,133.333333,0.101293,classical_w
0.036062,0.041270,3.179471,0.089276,0.145435,0.192036,0.008570,0.054876,-24.237760,1.541106,-0.687008,0.171850,0.151755,0.406638,-0.156625,-0.224234,0.137554,0.229069,0.152403,0.203404,0.011400,0.009384,0.005726,0.066434,0.002308,0.009668,0.011203,0.107269,0.004061,0.007905,0.018194,0.020412,0.002599,0.039777,0.008800,0.017543,0.082168,0.018603,0.030781,0.093728,0.004748,0.019183,0.681303,0.427841,0.330372,0.307832,0.288201,0.272490,0.249265,0.277569,0.298688,0.264294,0.250240,0.203888,0.173459,0.012415,0.005373,0.041243,0.001548,0.007044,0.009240,0.063914,0.004211,0.006134,0.013428,0.014261,0.002130,0.013930,300.000000,0.093677,classical_w
0.018964,0.027629,3.199234,0.083311,0.163289,0.043721,0.007433,0.026999,-25.100400,3.110155,-0.197317,0.216892,0.013458,-0.038759,-0.367387,0.001942,0.096951,-0.014917,-0.121716,0.096590,0.187701,0.017811,0.012857,0.048063,0.010359,0.013320,0.031903,0.108637,0.000427,0.004115,0.009357,0.027216,0.006603,0.040928,0.004808,0.015897,0.085457,0.022901,0.033863,0.025560,0.004066,0.008365,1.053360,0.363558,0.272045,0.266845,0.270246,0.222285,0.242845,0.235246,0.240290,0.251744,0.261169,0.227142,0.184209,0.020441,0.015915,0.035931,0.009542,0.009648,0.015999,0.054440,0.000434,0.002133,0.007599,0.025753,0.008190,0.009981,171.428571,0.104294,classical_w
0.040470,0.021156,3.216304,0.085200,0.132027,0.127092,0.006269,0.058100,-24.299341,1.841245,-1.103630,0.132830,-0.443890,0.011447,-0.115733,0.032986,0.116694,0.045310,-0.098663,0.108158,0.058124,0.027385,0.012737,0.014339,0.014017,0.011499,0.009622,0.010997,0.013641,0.010806,0.014021,0.024476,0.006885,0.018128,0.006088,0.011625,0.081786,0.018074,0.034872,0.054853,0.003310,0.009930,0.839249,0.343928,0.259904,0.298654,0.228839,0.230086,0.265981,0.224840,0.225743,0.265137,0.189403,0.186731,0.189749,0.022353,0.011156,0.009293,0.011522,0.008945,0.012241,0.009868,0.013595,0.009036,0.010652,0.015273,0.007278,0.008071,300.000000,0.080000,classical_w
0.034564,0.006951,3.211157,0.083243,0.136075,0.163464,0.005952,0.049743,-28.041537,2.115973,-0.615891,-0.249964,-0.296433,0.408159,0.133905,-0.032187,-0.006553,0.123012,-0.120808,-0.051519,0.008365,0.023735,0.001668,0.037548,0.014740,0.012828,0.005129,0.045571,0.005546,0.008820,0.003623,0.012929,0.015031,0.023480,0.006675,0.004173,0.064145,0.020270,0.035862,0.072479,0.002884,0.014346,0.885698,0.372411,0.317875,0.278235,0.283832,0.259871,0.265571,0.236133,0.262855,0.240261,0.216858,0.204766,0.184876,0.016130,0.001482,0.024624,0.009894,0.008242,0.004147,0.031575,0.005723,0.005557,0.002921,0.006596,0.011540,0.009912,150.000000,0.104623,classical_w
0.032809,0.010032,3.220526,0.082140,0.138662,0.127048,0.005179,0.049335,-25.924378,2.385266,-0.518629,0.053629,-0.281533,0.135877,-0.134489,-0.019822,0.005446,-0.016199,-0.025463,0.006261,0.057637,0.015925,0.007058,0.038315,0.017884,0.014441,0.024843,0.037179,0.001018,0.007787,0.011202,0.018038,0.007179,0.023596,0.008239,0.005512,0.063432,0.019727,0.036125,0.078108,0.002333,0.015085,0.993144,0.391557,0.313747,0.276398,0.259770,0.234989,0.260328,0.248047,0.247305,0.230428,0.244055,0.218158,0.208600,0.012418,0.007230,0.026108,0.014454,0.011421,0.017101,0.025120,0.000937,0.005816,0.008444,0.014008,0.006625,0.009013,120.000000,0.090293,classical_w
0.045714,0.016918,3.215268,0.092973,0.132859,0.280684,0.006040,0.070200,-25.457192,1.600414,-0.674917,-0.140313,-0.457779,-0.091568,-0.318476,0.035303,0.031826,0.082657,0.019910,0.115164,0.095327,0.011984,0.017335,0.013515,0.013559,0.011574,0.018019,0.025763,0.005569,0.012964,0.012515,0.017058,0.005730,0.017999,0.009864,0.007944,0.069035,0.018746,0.032675,0.130601,0.002797,0.018930,0.730914,0.373214,0.284885,0.307268,0.258583,0.249496,0.248509,0.267078,0.303975,0.277100,0.267037,0.227424,0.220506,0.011932,0.015121,0.010463,0.011596,0.009777,0.021853,0.019457,0.006224,0.010070,0.010374,0.014067,0.006711,0.007034,300.000000,0.119403,classical_w
0.039983,0.029697,3.241850,0.083931,0.129538,0.170184,0.005637,0.058990,-23.220399,1.944792,-0.665184,0.088707,-0.346552,-0.016513,0.009710,0.078019,0.038144,0.185092,0.009659,0.017618,0.082738,0.007636,0.008960,0.017440,0.008991,0.015557,0.010867,0.020719,0.005544,0.010700,0.011549,0.023786,0.016463,0.015717,0.006775,0.013590,0.046232,0.018615,0.037130,0.081491,0.001963,0.009172,0.598753,0.286780,0.227426,0.242825,0.237786,0.222827,0.224542,0.237320,0.252013,0.263047,0.227552,0.200964,0.169961,0.006113,0.010364,0.012229,0.007967,0.013518,0.011213,0.015205,0.005632,0.007925,0.008320,0.015138,0.013388,0.005264,200.000000,0.096639,classical_w
0.020786,0.034296,3.163621,0.078872,0.150749,0.078740,0.004868,0.027078,-24.410347,3.030144,0.061702,0.239124,-0.166622,-0.131301,-0.498490,-0.124201,0.231074,0.111051,0.038018,0.101070,0.003717,0.015638,0.003978,0.017577,0.022150,0.014663,0.004263,0.103371,0.000705,0.034033,0.030646,0.026628,0.007077,0.036584,0.004473,0.012275,0.070044,0.023637,0.038958,0.031796,0.002603,0.007516,0.625103,0.324040,0.242483,0.243060,0.211316,0.206896,0.214137,0.182233,0.203109,0.176613,0.216009,0.186484,0.185481,0.009354,0.003077,0.009369,0.015992,0.009617,0.002762,0.030985,0.000905,0.018042,0.018810,0.014636,0.004981,0.008014,171.428571,0.091489,classical_w
0.035554,0.027293,3.219776,0.081785,0.130862,0.143049,0.006267,0.054247,-23.660533,2.126566,-0.594023,0.208084,-0.219088,0.026149,0.024099,0.060524,0.063900,0.086166,-0.012189,0.049537,0.070550,0.019205,0.015836,0.018502,0.013924,0.021537,0.020400,0.032719,0.003036,0.007668,0.013716,0.020855,0.011670,0.023407,0.007060,0.018507,0.075834,0.019664,0.037346,0.061927,0.002589,0.012277,0.934005,0.321422,0.275217,0.290137,0.245475,0.230284,0.217828,0.256960,0.282579,0.265967,0.226031,0.216144,0.194447,0.015445,0.016527,0.013439,0.014551,0.018321,0.021320,0.026666,0.003652,0.007429,0.011889,0.017911,0.012950,0.007644,150.000000,0.112069,classical_w
0.036835,0.026331,3.198082,0.081862,0.129057,0.167459,0.007085,0.052762,-23.595288,2.021124,-0.675474,0.015094,-0.419635,-0.078109,0.070027,0.307008,0.021867,0.100035,-0.063926,-0.108645,-0.057061,0.012971,0.028940,0.019661,0.010109,0.012772,0.012755,0.018386,0.002459,0.004156,0.012384,0.017911,0.028606,0.021709,0.008787,0.017841,0.076134,0.018214,0.034631,0.105185,0.003184,0.015299,0.806945,0.457642,0.238597,0.239746,0.234355,0.248215,0.251150,0.284474,0.275960,0.297757,0.241674,0.213216,0.209815,0.010757,0.025196,0.017140,0.009653,0.016592,0.013214,0.016398,0.003519,0.003284,0.011842,0.013053,0.028501,0.008946,240.000000,0.098712,classical_w
